Year,Quarter,Class,Title,Instructor,Students,AverageGPA,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
2010,Summer,CHEM 237,Organic Chemistry,"Clary, Scott T.",107,2.8,10,18,17,10,17,9,7,6,2,1,1,1,8
2010,Summer,CHEM 239,Organic Chemistry,"Sasaki, Tomikazu",142,2.5,7,14,17,19,28,11,12,13,8,3,3,3,4
2010,Summer,CSE 142,Computer Prgrmng I,"Wortzman, Brett G B",139,2.6,19,24,11,13,21,4,12,3,7,2,2,11,10
2010,Summer,MICROM 301,Gen Microbiology,"Anderson, Denise G",118,2.7,10,19,15,17,18,9,7,7,4,2,2,3,5
2011,Fall,AFRAM 101,Intro Af-Am Studies,"Retman, Sonnet H.",92,2.9,16,16,18,10,13,2,6,2,3,2,1,2,1
2011,Fall,ANTH 101,Exploring Soc Anthr,"Perez, Michael V",166,3.1,53,29,11,18,15,12,4,5,5,1,4,5,4
2011,Fall,ATM S 101,Weather,"Mass, Clifford F",127,3,26,21,21,22,13,8,5,1,4,1,2,2,1
2011,Fall,B H 401,History Of Medicine,"Berryman, Jack W",52,2.7,4,12,9,6,4,3,2,1,1,3,1,3,3
2011,Fall,BIO A 201,Prin Biologcl Anth,"Kushnick, Geoff",158,2.9,16,43,20,24,14,11,9,7,2,2,2,4,4
2011,Fall,BIOC 440,Biochemistry,"Klevit, Rachel",322,2.8,46,80,39,26,37,20,6,17,11,9,5,13,13
2011,Fall,BIOL 118,Survey Of Physiol,"Petersen, Karen E",383,2.9,40,71,82,72,31,21,12,17,9,5,4,8,11
2011,Fall,BIOL 180,Intro Biology,"Freeman, Scott",687,2.9,53,108,105,115,127,64,47,33,10,3,1,4,17
2011,Fall,BIOL 200,Intro Biol,"Schivell, Amanda",381,2.7,31,49,72,41,64,36,34,14,12,8,5,8,7
2011,Fall,BIOL 350,Foundtns Physiology,"Kennedy, Michael L",129,2.8,8,30,16,17,19,17,7,4,1,1,1,4,4
2011,Fall,BIOL 404,Animal Cell Physiol,"De La Iglesia, Horacio O.",117,2.4,12,8,13,11,15,8,7,7,6,3,6,7,14
2011,Fall,BIOL 453,Cmpr Anat Verts,"Sidor, Christian A.",69,2.6,2,14,15,3,7,8,5,5,3,1,4,1,1
2011,Fall,BIOL 462,Adv Animal Phys,"Wenderoth, Mary P",89,2.4,3,6,8,15,16,11,7,8,3,1,3,5,3
2011,Fall,C LIT 272,Film: Genre,"Braester, Yomi",172,3,18,38,37,23,21,10,5,11,2,1,2,3,1
2011,Fall,CHEM 120,Principles Of Chem I,"Miller, Leah M.",322,2.7,17,55,40,51,59,32,20,11,10,5,3,12,7
2011,Fall,CHEM 142,General Chemistry,"Campbell, Charles T",511,2.7,36,107,74,64,50,33,34,32,15,16,12,25,13
2011,Fall,CHEM 142,General Chemistry,"Carroll, Andrea D.",513,2.5,26,55,62,63,114,53,37,40,14,10,10,19,10
2011,Fall,CHEM 142,General Chemistry,"Robinson, Bruce H",422,2.5,21,39,48,65,79,47,48,28,23,4,8,7,5
2011,Fall,CHEM 152,General Chemistry,"Drobny, Gary P",185,2.9,12,39,40,25,20,12,6,11,6,3,2,3,6
2011,Fall,CHEM 162,General Chemistry,"Bryant, Jasmine R.",281,2.6,15,32,39,31,51,35,23,23,9,7,5,6,5
2011,Fall,CHEM 237,Organic Chemistry,"Andersen, Niels H",388,2.7,20,29,40,64,75,54,54,12,5,1,2,1,31
2011,Fall,CHEM 455,Physical Chemistry,"Maibaum, Lutz G",72,2.8,4,13,9,19,10,7,3,1,1,2,1,1,1
2011,Fall,COM 201,Intro To Comm I,"Domke, David S.",434,2.9,12,69,98,83,87,33,13,19,5,3,3,3,6
2011,Fall,COM 202,Intro To Comm Ii,"Coutu, Lisa",419,2.9,56,76,69,61,54,30,18,22,7,6,12,4,4
